PHARMACOLOGICAL_CLASS,DRUG_NAME,GENERIC_NAME,COMBINED_NAME,BENEFICIARY_COUNT,PRESCRIBER_COUNT,TOTAL_CLAIM_COUNT, TOTAL_DRUG_COST 
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",DIDRONEL,ETIDRONATE DISODIUM,DIDRONEL : ETIDRONATE DISODIUM,NaN,NaN,13,1757
CENTRALLY-ACTING APPETITE SUPPRESSANTS,DIETHYLPROPION HCL,DIETHYLPROPION HCL,DIETHYLPROPION HCL : DIETHYLPROPION HCL,169,148,665,18991
"ANTIACNE AGENTS,TOPICAL",DIFFERIN,ADAPALENE,DIFFERIN : ADAPALENE,1440,1267,2518,641302
"ANTIBIOTICS, PENICILLINS/CARBAPENEM",MERREM,MEROPENEM,MERREM : MEROPENEM,484,443,1105,606741
"ANTI-INFLAMMATORY,TOPICAL",DIFLORASONE DIACETATE,DIFLORASONE DIACETATE,DIFLORASONE DIACETATE : DIFLORASONE DIACETATE,11456,7801,22532,5072825
ANTIFUNGALS,DIFLUCAN,FLUCONAZOLE,DIFLUCAN : FLUCONAZOLE,1124,1231,2137,467595
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",DIFLUNISAL,DIFLUNISAL,DIFLUNISAL : DIFLUNISAL,19354,8985,52725,4297862
DIGITALIS GLYCOSIDES,DIGOX,DIGOXIN,DIGOX : DIGOXIN,705156,197930,3502941,38582380
DIGITALIS GLYCOSIDES,DIGOXIN,DIGOXIN,DIGOXIN : DIGOXIN,396626,147276,1796355,18703817
ANTIMIGRAINE AGENTS,DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE MESYLATE : DIHYDROERGOTAMINE MESYLATE,1496,1169,4161,3897614
CALCIUM CHANNEL BLOCKERS,DILACOR XR,DILTIAZEM HCL,DILACOR XR : DILTIAZEM HCL,76,87,388,69130
ANTICONVULSANTS,DILANTIN,PHENYTOIN,DILANTIN : PHENYTOIN,15417,12832,81677,3560335
ANTICONVULSANTS,DILANTIN,PHENYTOIN SODIUM EXTENDED,DILANTIN : PHENYTOIN SODIUM EXTENDED,44160,36577,340853,21898732
ANTICONVULSANTS,DILANTIN-125,PHENYTOIN,DILANTIN-125 : PHENYTOIN,607,686,4369,477225
ANTIANGINALS,DILATRATE-SR,ISOSORBIDE DINITRATE,DILATRATE-SR : ISOSORBIDE DINITRATE,287,315,1494,320898
OPIOID ANALGESICS,DILAUDID,HYDROMORPHONE HCL,DILAUDID : HYDROMORPHONE HCL,1803,2114,9973,3208153
OPIOID ANALGESICS,DILAUDID,HYDROMORPHONE HCL/PF,DILAUDID : HYDROMORPHONE HCL/PF,77,95,435,41836
OPIOID ANALGESICS,DILAUDID-HP,HYDROMORPHONE HCL/PF,DILAUDID-HP : HYDROMORPHONE HCL/PF,22,20,120,73685
CALCIUM CHANNEL BLOCKERS,DILT-CD,DILTIAZEM HCL,DILT-CD : DILTIAZEM HCL,780,769,2976,92558
CALCIUM CHANNEL BLOCKERS,DILT-XR,DILTIAZEM HCL,DILT-XR : DILTIAZEM HCL,75187,48072,276507,12418520
CALCIUM CHANNEL BLOCKERS,DILTIAZEM 24HR CD,DILTIAZEM HCL,DILTIAZEM 24HR CD : DILTIAZEM HCL,430408,167713,2027819,86334545
CALCIUM CHANNEL BLOCKERS,DILTIAZEM 24HR ER,DILTIAZEM HCL,DILTIAZEM 24HR ER : DILTIAZEM HCL,533059,186692,2496480,126737787
CALCIUM CHANNEL BLOCKERS,DILTIAZEM ER,DILTIAZEM HCL,DILTIAZEM ER : DILTIAZEM HCL,345104,156551,1541081,75069818
CALCIUM CHANNEL BLOCKERS,DILTIAZEM HCL,DILTIAZEM HCL,DILTIAZEM HCL : DILTIAZEM HCL,201369,119379,882242,10920066
CALCIUM CHANNEL BLOCKERS,DILTZAC ER,DILTIAZEM HCL,DILTZAC ER : DILTIAZEM HCL,141,141,654,27373
"ANTIHISTAMINES,ETHANOLAMINE",DIMENHYDRINATE,DIMENHYDRINATE,DIMENHYDRINATE : DIMENHYDRINATE,16,NaN,18,622
ANGIOTENSIN II INHIBITOR,DIOVAN,VALSARTAN,DIOVAN : VALSARTAN,1036717,240407,6415603,1227141573
ANTIHYPERTENSIVE COMBINATIONS,DIOVAN HCT,VALSARTAN/HYDROCHLOROTHIAZIDE,DIOVAN HCT : VALSARTAN/HYDROCHLOROTHIAZIDE,151106,77687,486002,100995004
"GASTRIC MEDICATIONS,OTHER",AMITIZA,LUBIPROSTONE,AMITIZA : LUBIPROSTONE,143619,63445,623549,158402295
"ANTIHISTAMINES,ETHANOLAMINE",DIPHENHYDRAMINE HCL,DIPHENHYDRAMINE HCL,DIPHENHYDRAMINE HCL : DIPHENHYDRAMINE HCL,25476,16082,66555,722269
ANTIDIARRHEAL AGENTS,DIPHENOXYLATE-ATROPINE,DIPHENOXYLATE HCL/ATROPINE,DIPHENOXYLATE-ATROPINE : DIPHENOXYLATE HCL/ATROPINE,361164,147044,829264,11491929
VACCINES,DIPHTHERIA-TETANUS TOXOID,"TETANUS,DIPHTHERIA TOXD PED/PF","DIPHTHERIA-TETANUS TOXOID : TETANUS,DIPHTHERIA TOXD PED/PF",77,60,77,3418
VACCINES,DIPHTHERIA-TETANUS TOXOIDS-PED,"TETANUS,DIPHTHERIA TOXD PED/PF","DIPHTHERIA-TETANUS TOXOIDS-PED : TETANUS,DIPHTHERIA TOXD PED/PF",422,175,424,23929
"ANTI-INFLAMMATORY,TOPICAL",DIPROLENE,BETAMETHASONE/PROPYLENE GLYC,DIPROLENE : BETAMETHASONE/PROPYLENE GLYC,220,223,410,68883
"ANTI-INFLAMMATORY,TOPICAL",DIPROLENE AF,BETAMETHASONE/PROPYLENE GLYC,DIPROLENE AF : BETAMETHASONE/PROPYLENE GLYC,165,162,324,76583
PLATELET AGGREGATION INHIBITORS,DIPYRIDAMOLE,DIPYRIDAMOLE,DIPYRIDAMOLE : DIPYRIDAMOLE,32623,24482,166174,5691039
ANTIARRHYTHMICS,DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE : DISOPYRAMIDE PHOSPHATE,4850,5085,26877,1474881
ALCOHOL DETERRENTS,DISULFIRAM,DISULFIRAM,DISULFIRAM : DISULFIRAM,7134,7278,25140,2839624
"ANTISPASMODICS,URINARY",DITROPAN XL,OXYBUTYNIN CHLORIDE,DITROPAN XL : OXYBUTYNIN CHLORIDE,713,817,3408,932704
THIAZIDES/RELATED DIURETICS,DIURIL,CHLOROTHIAZIDE,DIURIL : CHLOROTHIAZIDE,46,51,202,12508
ANTICONVULSANTS,DIVALPROEX SODIUM,DIVALPROEX SODIUM,DIVALPROEX SODIUM : DIVALPROEX SODIUM,383727,143007,2779181,102256010
ANTICONVULSANTS,DIVALPROEX SODIUM ER,DIVALPROEX SODIUM,DIVALPROEX SODIUM ER : DIVALPROEX SODIUM,270049,105412,1955453,199833755
CONTRACEPTIVES/WOMANS HEALTH ,DIVIGEL,ESTRADIOL,DIVIGEL : ESTRADIOL,2581,2168,9507,1193869
SYMPATHOMIMETICS (ADRENERGICS),DOBUTAMINE HCL,DOBUTAMINE HCL,DOBUTAMINE HCL : DOBUTAMINE HCL,33,30,233,14792
SYMPATHOMIMETICS (ADRENERGICS),DOBUTAMINE HCL IN DEXTROSE,DOBUTAMINE HCL/D5W,DOBUTAMINE HCL IN DEXTROSE : DOBUTAMINE HCL/D5W,62,60,606,58049
"ANTINEOPLASTIC,OTHER",DOCETAXEL,DOCETAXEL,DOCETAXEL : DOCETAXEL,377,191,1297,3312525
NON-OPIOID ANALGESICS,DOLGIC PLUS,BUTALB/ACETAMINOPHEN/CAFFEINE,DOLGIC PLUS : BUTALB/ACETAMINOPHEN/CAFFEINE,38,35,86,31205
"COLD REMEDIES,OTHER",DOLOGESIC,ACETAMINOPHEN/PHENYLTOLX CIT,DOLOGESIC : ACETAMINOPHEN/PHENYLTOLX CIT,12,NaN,14,236
OPIOID ANALGESICS,DOLOPHINE HCL,METHADONE HCL,DOLOPHINE HCL : METHADONE HCL,31,43,110,3214
"CNS MEDICATIONS,OTHER",DONEPEZIL HCL,DONEPEZIL HCL,DONEPEZIL HCL : DONEPEZIL HCL,1290351,225281,8297796,240216747
"CNS MEDICATIONS,OTHER",DONEPEZIL HCL ODT,DONEPEZIL HCL,DONEPEZIL HCL ODT : DONEPEZIL HCL,13496,10735,64120,4113481
BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,DORAL,QUAZEPAM,DORAL : QUAZEPAM,48,52,112,21843
"ANTIBIOTICS, PENICILLINS/CARBAPENEM",PRIMAXIN,IMIPENEM/CILASTATIN SODIUM,PRIMAXIN : IMIPENEM/CILASTATIN SODIUM,732,632,1805,775830
"ANTIBIOTICS, TETRACYCLINES",DORYX,DOXYCYCLINE HYCLATE,DORYX : DOXYCYCLINE HYCLATE,541,480,1034,630005
"ANTIGLAUCOMA,OTHER",DORZOLAMIDE HCL,DORZOLAMIDE HCL,DORZOLAMIDE HCL : DORZOLAMIDE HCL,138074,38848,541904,19547720
"ANTIGLAUCOMA COMBINATIONS,TOPICAL OPHTHALMIC",DORZOLAMIDE-TIMOLOL,DORZOLAMIDE HCL/TIMOLOL MALEAT,DORZOLAMIDE-TIMOLOL : DORZOLAMIDE HCL/TIMOLOL MALEAT,381428,63579,1578449,66075098
"ANTIPSORIATICS,TOPICAL",DOVONEX,CALCIPOTRIENE,DOVONEX : CALCIPOTRIENE,3155,2734,8010,5547250
ALPHA BLOCKERS/RELATED,DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE : DOXAZOSIN MESYLATE,600253,184359,3169928,53569876
ANTIDEPRESSANTS / TCA,DOXEPIN HCL,DOXEPIN HCL,DOXEPIN HCL : DOXEPIN HCL,197798,102972,979872,17530525
ANTINEOPLASTIC ANTIBIOTICS,DOXIL,DOXORUBICIN HCL PEG-LIPOSOMAL,DOXIL : DOXORUBICIN HCL PEG-LIPOSOMAL,55,44,162,627392
ANTINEOPLASTIC ANTIBIOTICS,DOXORUBICIN HCL,DOXORUBICIN HCL,DOXORUBICIN HCL : DOXORUBICIN HCL,139,100,451,37632
ANTINEOPLASTIC ANTIBIOTICS,DOXORUBICIN HCL LIPOSOME,DOXORUBICIN HCL PEG-LIPOSOMAL,DOXORUBICIN HCL LIPOSOME : DOXORUBICIN HCL PEG-LIPOSOMAL,25,19,54,180750
"ANTIBIOTICS, TETRACYCLINES",DOXY 100,DOXYCYCLINE HYCLATE,DOXY 100 : DOXYCYCLINE HYCLATE,247,225,769,177883
"ANTIBIOTICS, TETRACYCLINES",DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE : DOXYCYCLINE HYCLATE,1880615,386288,2909431,207646341
"ANTIBIOTICS, TETRACYCLINES",DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE MONOHYDRATE : DOXYCYCLINE MONOHYDRATE,221101,109734,310355,13406893
ERGOCALCIFEROL,DRISDOL,ERGOCALCIFEROL (VITAMIN D2),DRISDOL : ERGOCALCIFEROL (VITAMIN D2),138,119,347,8472
"ANTIPSORIATICS,TOPICAL",DRITHOCREME HP,ANTHRALIN,DRITHOCREME HP : ANTHRALIN,90,84,162,19390
ANTIEMETICS,DRONABINOL,DRONABINOL,DRONABINOL : DRONABINOL,35664,26243,122456,54957717
ANESTHETIC ADJUNCTS,DROPERIDOL,DROPERIDOL,DROPERIDOL : DROPERIDOL,33,21,71,1827
CONTRACEPTIVES/WOMANS HEALTH ,DROSPIRENONE-ETHINYL ESTRADIOL,ETHINYL ESTRADIOL/DROSPIRENONE,DROSPIRENONE-ETHINYL ESTRADIOL : ETHINYL ESTRADIOL/DROSPIRENONE,84,83,123,9778
"ANTINEOPLASTICS,ANTIMETABOLITES",DROXIA,HYDROXYUREA,DROXIA : HYDROXYUREA,387,414,1956,87020
"ANTIBIOTICS, LINCOMYCINS",CLEOCIN PHOSPHATE IN D5W,CLINDAMYCIN PHOSPHATE/D5W,CLEOCIN PHOSPHATE IN D5W : CLINDAMYCIN PHOSPHATE/D5W,242,214,431,59070
"VITAMIN COMBINATIONS,OTHER",DUET DHA BALANCED,PNV110/IRON/FA/OMEGA 3/DHA/EPA,DUET DHA BALANCED : PNV110/IRON/FA/OMEGA 3/DHA/EPA,NaN,NaN,15,1884
"ORAL HYPOGLYCEMIC AGENTS,ORAL",DUETACT,PIOGLITAZONE HCL/GLIMEPIRIDE,DUETACT : PIOGLITAZONE HCL/GLIMEPIRIDE,1962,1790,6700,2789419
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",DUEXIS,IBUPROFEN/FAMOTIDINE,DUEXIS : IBUPROFEN/FAMOTIDINE,4096,2705,7634,3332034
"ANTIASTHMA,OTHER",DULERA,MOMETASONE/FORMOTEROL,DULERA : MOMETASONE/FORMOTEROL,153060,61074,465813,125658426
ANTIDEPRESSANTS/SSRI,CITALOPRAM HBR,CITALOPRAM HYDROBROMIDE,CITALOPRAM HBR : CITALOPRAM HYDROBROMIDE,167851,91429,177853,45703055
"ANTIASTHMA,OTHER",DUONEB,IPRATROPIUM/ALBUTEROL SULFATE,DUONEB : IPRATROPIUM/ALBUTEROL SULFATE,278,250,352,30316
OPIOID ANALGESICS,DURAGESIC,FENTANYL,DURAGESIC : FENTANYL,3489,4458,24782,26447198
OPIOID ANALGESICS,DURAMORPH,MORPHINE SULFATE/PF,DURAMORPH : MORPHINE SULFATE/PF,NaN,NaN,21,694
"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC",DUREZOL,DIFLUPREDNATE,DUREZOL : DIFLUPREDNATE,288943,18804,438102,50067812
ANTIHYPERTENSIVE COMBINATIONS,DUTOPROL,METOPROLOL SUCCINATE/HCTZ,DUTOPROL : METOPROLOL SUCCINATE/HCTZ,879,880,2806,73483
POTASSIUM SPARING/COMBINATIONS DIURETICS,DYAZIDE,TRIAMTERENE/HYDROCHLOROTHIAZID,DYAZIDE : TRIAMTERENE/HYDROCHLOROTHIAZID,3240,3550,15420,950280
"ANTIHISTAMINES,NASAL",DYMISTA,AZELASTINE/FLUTICASONE,DYMISTA : AZELASTINE/FLUTICASONE,30658,13004,55241,9314827
CALCIUM CHANNEL BLOCKERS,DYNACIRC CR,ISRADIPINE,DYNACIRC CR : ISRADIPINE,13,13,24,2541
POTASSIUM SPARING/COMBINATIONS DIURETICS,DYRENIUM,TRIAMTERENE,DYRENIUM : TRIAMTERENE,4612,4834,20883,2517239
"MUSCULOSKELETAL AGENTS,OTHER",DYSPORT,ABOBOTULINUMTOXINA,DYSPORT : ABOBOTULINUMTOXINA,82,59,170,178067
"ANTIBIOTICS, PENICILLINS/EXTENDED-SPECTRUM",PIPERACILLIN-TAZOBACTAM,PIPERACILLIN SODIUM/TAZOBACTAM,PIPERACILLIN-TAZOBACTAM : PIPERACILLIN SODIUM/TAZOBACTAM,15164,9504,44197,10611379
"ANTIBIOTICS, PENICILLINS/EXTENDED-SPECTRUM",TIMENTIN,TICARCILLIN/K CLAVULANATE,TIMENTIN : TICARCILLIN/K CLAVULANATE,36,37,101,28498
MEDICAL SUPPLY,EASY COMFORT INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.5ML","EASY COMFORT INSULIN SYRINGE : SYRING W-NDL,DISP,INSUL,0.5ML",179,160,397,13569
MEDICAL SUPPLY,EASY COMFORT INSULIN SYRINGE,"SYRINGE & NEEDLE,INSULIN,1 ML","EASY COMFORT INSULIN SYRINGE : SYRINGE & NEEDLE,INSULIN,1 ML",100,94,255,7604
MEDICAL SUPPLY,EASY COMFORT PEN NEEDLES,"NEEDLES, INSULIN DISPOSABLE","EASY COMFORT PEN NEEDLES : NEEDLES, INSULIN DISPOSABLE",226,192,417,15470
MEDICAL SUPPLY,EASY TOUCH,"NEEDLES, INSULIN DISPOSABLE","EASY TOUCH : NEEDLES, INSULIN DISPOSABLE",24828,17482,65731,1980214
MEDICAL SUPPLY,EASY TOUCH,"SYRING W-NDL,DISP,INSUL,0.3ML","EASY TOUCH : SYRING W-NDL,DISP,INSUL,0.3ML",3606,3273,7990,197198
MEDICAL SUPPLY,EASY TOUCH,"SYRING W-NDL,DISP,INSUL,0.5ML","EASY TOUCH : SYRING W-NDL,DISP,INSUL,0.5ML",11810,8411,35934,841532
MEDICAL SUPPLY,EASY TOUCH,"SYRINGE & NEEDLE,INSULIN,1 ML","EASY TOUCH : SYRINGE & NEEDLE,INSULIN,1 ML",4091,3486,11562,286331
MEDICAL SUPPLY,EASY TOUCH ALCOHOL PREP PADS,ALCOHOL ANTISEPTIC PADS,EASY TOUCH ALCOHOL PREP PADS : ALCOHOL ANTISEPTIC PADS,2641,1536,6181,33061
MEDICAL SUPPLY,EASY TOUCH INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SAFE,1ML","EASY TOUCH INSULIN SAFETY : SYRINGE,NEEDLE,INSULN,SAFE,1ML",74,42,150,4896
MEDICAL SUPPLY,EASY TOUCH INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SF 0.5ML","EASY TOUCH INSULIN SAFETY : SYRINGE,NEEDLE,INSULN,SF 0.5ML",58,31,110,3492
MEDICAL SUPPLY,EASY TOUCH INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.3ML","EASY TOUCH INSULIN SYRINGE : SYRING W-NDL,DISP,INSUL,0.3ML",213,206,470,10731
MEDICAL SUPPLY,EASY TOUCH INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.5ML","EASY TOUCH INSULIN SYRINGE : SYRING W-NDL,DISP,INSUL,0.5ML",748,675,1631,40994
MEDICAL SUPPLY,EASY TOUCH INSULIN SYRINGE,"SYRINGE & NEEDLE,INSULIN,1 ML","EASY TOUCH INSULIN SYRINGE : SYRINGE & NEEDLE,INSULIN,1 ML",938,858,1966,54582
MEDICAL SUPPLY,EASY-TOUCH INSULIN SYRINGE,"SYRINGE & NEEDLE,INSULIN,1 ML","EASY-TOUCH INSULIN SYRINGE : SYRINGE & NEEDLE,INSULIN,1 ML",5648,4667,15725,387309
"NONSALICYLATE NSAIS,ANTIRHEUMATIC",EC-NAPROSYN,NAPROXEN,EC-NAPROSYN : NAPROXEN,126,127,303,47931
MEDICAL SUPPLY,ECLIPSE SYRINGE,"SYRINGE & NEEDLE,INSULIN,1 ML","ECLIPSE SYRINGE : SYRINGE & NEEDLE,INSULIN,1 ML",33,33,53,3232
"ANTIFUNGAL,TOPICAL",ECONAZOLE NITRATE,ECONAZOLE NITRATE,ECONAZOLE NITRATE : ECONAZOLE NITRATE,282964,60044,523109,13164470
PARASYMPATHOLYTICS,ED-SPAZ,HYOSCYAMINE SULFATE,ED-SPAZ : HYOSCYAMINE SULFATE,114,109,229,8688
ANGIOTENSIN II INHIBITOR,EDARBI,AZILSARTAN MEDOXOMIL,EDARBI : AZILSARTAN MEDOXOMIL,9984,7317,42369,5383599
ANTIHYPERTENSIVE COMBINATIONS,EDARBYCLOR,AZILSARTAN MED/CHLORTHALIDONE,EDARBYCLOR : AZILSARTAN MED/CHLORTHALIDONE,9367,6281,38583,5006131
LOOP DIURETICS,EDECRIN,ETHACRYNIC ACID,EDECRIN : ETHACRYNIC ACID,6800,7004,29316,10383271
PROSTAGLANDINS,EDEX,ALPROSTADIL,EDEX : ALPROSTADIL,146,137,380,169079
"SEDATIVES/HYPNOTICS,OTHER",EDLUAR,ZOLPIDEM TARTRATE,EDLUAR : ZOLPIDEM TARTRATE,765,732,3228,764545
ANTIVIRALS,EDURANT,RILPIVIRINE HCL,EDURANT : RILPIVIRINE HCL,1235,1023,8193,6147755
POTASSIUM,EFFER-K,POTASSIUM BICARBONATE/CIT AC,EFFER-K : POTASSIUM BICARBONATE/CIT AC,561,557,1365,36624
ANTIDEPRESSANTS/SNRI,DESVENLAFAXINE ER,DESVENLAFAXINE,DESVENLAFAXINE ER : DESVENLAFAXINE,10645,11774,69034,23910199
PLATELET AGGREGATION INHIBITORS,EFFIENT,PRASUGREL HCL,EFFIENT : PRASUGREL HCL,94597,49673,480751,140474473
"ANTINEOPLASTICS,ANTIMETABOLITES",EFUDEX,FLUOROURACIL,EFUDEX : FLUOROURACIL,755,516,845,195476
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",EGRIFTA,TESAMORELIN ACETATE,EGRIFTA : TESAMORELIN ACETATE,1004,589,5829,14656896
"HORMONES/SYNTHETICS/MODIFIERS,OTHER",ELAPRASE,IDURSULFASE,ELAPRASE : IDURSULFASE,12,NaN,118,6808946
ANTIPARKINSON AGENTS,ELDEPRYL,SELEGILINE HCL,ELDEPRYL : SELEGILINE HCL,47,53,201,59204
"BLOOD PRODUCTS,OTHER",ELELYSO,TALIGLUCERASE ALFA,ELELYSO : TALIGLUCERASE ALFA,NaN,NaN,71,1712907
"OPHTHALMICS,OTHER",ELESTAT,EPINASTINE HCL,ELESTAT : EPINASTINE HCL,766,738,2141,346345
CONTRACEPTIVES/WOMANS HEALTH ,ELESTRIN,ESTRADIOL,ELESTRIN : ESTRADIOL,1203,1004,3034,501674
"DERMATOLOGICALS,TOPICAL OTHER",ELIDEL,PIMECROLIMUS,ELIDEL : PIMECROLIMUS,28869,18077,51655,17144345
ANTINEOPLASTIC HORMONES,ELIGARD,LEUPROLIDE ACETATE,ELIGARD : LEUPROLIDE ACETATE,648,452,1399,1889700
PEDICULICIDES,ELIMITE,PERMETHRIN,ELIMITE : PERMETHRIN,27,22,45,5167
CONTRACEPTIVES/WOMANS HEALTH ,ELINEST,NORGESTREL-ETHINYL ESTRADIOL,ELINEST : NORGESTREL-ETHINYL ESTRADIOL,510,588,2620,69815
CALCIUM,ELIPHOS,CALCIUM ACETATE,ELIPHOS : CALCIUM ACETATE,1729,1208,2533,358700
ANTICOAGULANTS,ELIQUIS,APIXABAN,ELIQUIS : APIXABAN,46927,23975,142957,44936698
"VITAMIN COMBINATIONS,OTHER",ELITE-OB,"IRON,CARBONYL/FA/MULTIVITS-MIN","ELITE-OB : IRON,CARBONYL/FA/MULTIVITS-MIN",21,21,38,2764
"BRONCHODILATORS,XANTHINE-DERIVATIVE",ELIXOPHYLLIN,THEOPHYLLINE ANHYDROUS,ELIXOPHYLLIN : THEOPHYLLINE ANHYDROUS,697,637,3959,586348
CONTRACEPTIVES/WOMANS HEALTH ,ELLA,ULIPRISTAL ACETATE,ELLA : ULIPRISTAL ACETATE,55,55,74,3330
"GENITO-URINARY AGENTS,OTHER",ELMIRON,PENTOSAN POLYSULFATE SODIUM,ELMIRON : PENTOSAN POLYSULFATE SODIUM,24825,15182,113075,69418116
"ANTI-INFLAMMATORY,TOPICAL",ELOCON,MOMETASONE FUROATE,ELOCON : MOMETASONE FUROATE,741,745,1318,116364
"ANTINEOPLASTIC,OTHER",ELOXATIN,OXALIPLATIN,ELOXATIN : OXALIPLATIN,33,26,101,608474
"OPHTHALMICS,OTHER",EMADINE,EMEDASTINE DIFUMARATE,EMADINE : EMEDASTINE DIFUMARATE,74,74,144,17574
"ANTINEOPLASTIC,OTHER",EMCYT,ESTRAMUSTINE PHOSPHATE SODIUM,EMCYT : ESTRAMUSTINE PHOSPHATE SODIUM,214,134,677,389189
ANTIEMETICS,EMEND,APREPITANT,EMEND : APREPITANT,9539,3538,27197,11849615
ANTIEMETICS,EMEND,FOSAPREPITANT DIMEGLUMINE,EMEND : FOSAPREPITANT DIMEGLUMINE,186,99,629,242285
"LOCAL ANESTHETICS,TOPICAL",EMLA,LIDOCAINE/PRILOCAINE,EMLA : LIDOCAINE/PRILOCAINE,47,47,73,4652
CONTRACEPTIVES/WOMANS HEALTH ,EMOQUETTE,DESOGESTREL-ETHINYL ESTRADIOL,EMOQUETTE : DESOGESTREL-ETHINYL ESTRADIOL,1028,1128,5290,137648
MONAMINE OXIDASE INHIBITOR ANTIDEPRESSANTS,EMSAM,SELEGILINE,EMSAM : SELEGILINE,1608,1596,7873,6637285
ANTIVIRALS,EMTRIVA,EMTRICITABINE,EMTRIVA : EMTRICITABINE,3433,2888,26183,11048124
"ANTISPASMODICS,URINARY",ENABLEX,DARIFENACIN HYDROBROMIDE,ENABLEX : DARIFENACIN HYDROBROMIDE,84812,51335,354379,75745520
ACE INHIBITORS,ENALAPRIL MALEATE,ENALAPRIL MALEATE,ENALAPRIL MALEATE : ENALAPRIL MALEATE,875538,219887,5005683,51003220
ANTIHYPERTENSIVE COMBINATIONS,ENALAPRIL-HYDROCHLOROTHIAZIDE,ENALAPRIL/HYDROCHLOROTHIAZIDE,ENALAPRIL-HYDROCHLOROTHIAZIDE : ENALAPRIL/HYDROCHLOROTHIAZIDE,57520,41416,308128,4952199
ACE INHIBITORS,ENALAPRILAT,ENALAPRILAT DIHYDRATE,ENALAPRILAT : ENALAPRILAT DIHYDRATE,13,14,68,34614
"ANTIRHEUMATICS,OTHER",ENBREL,ETANERCEPT,ENBREL : ETANERCEPT,50570,15687,354298,977046789
OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,ENDACOF-C,CHLORPHENIRAMINE/CODEINE PHOS,ENDACOF-C : CHLORPHENIRAMINE/CODEINE PHOS,11,NaN,15,283
OPIOID ANALGESICS,ENDOCET,OXYCODONE HCL/ACETAMINOPHEN,ENDOCET : OXYCODONE HCL/ACETAMINOPHEN,182459,96756,484215,20790562
OPIOID ANALGESICS,ENDODAN,OXYCODONE HCL/ASPIRIN,ENDODAN : OXYCODONE HCL/ASPIRIN,581,611,959,67202
PROGESTINS,ENDOMETRIN,"PROGESTERONE,MICRONIZED","ENDOMETRIN : PROGESTERONE,MICRONIZED",20,20,41,11149
VACCINES,ENGERIX-B ADULT,HEPATITIS B VIRUS VACCINE/PF,ENGERIX-B ADULT : HEPATITIS B VIRUS VACCINE/PF,1668,1131,2636,165052
VACCINES,ENGERIX-B PEDIATRIC-ADOLESCENT,HEPATITIS B VIRUS VACCINE/PF,ENGERIX-B PEDIATRIC-ADOLESCENT : HEPATITIS B VIRUS VACCINE/PF,88,86,109,6217
CONTRACEPTIVES/WOMANS HEALTH ,ENJUVIA,"ESTROGENS,CONJ.,SYNTHETIC B","ENJUVIA : ESTROGENS,CONJ.,SYNTHETIC B",2723,2723,11786,1124676
MISCELLANEOUS AGENTS,ENLYTE,FA#5/FE/C/CA-THRE/PS-DHA/B#14,ENLYTE : FA#5/FE/C/CA-THRE/PS-DHA/B#14,21,22,52,6139
ANTICOAGULANTS,ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,ENOXAPARIN SODIUM : ENOXAPARIN SODIUM,403612,188404,779960,465345888
CONTRACEPTIVES/WOMANS HEALTH ,ENPRESSE,LEVONORGESTREL-ETH ESTRADIOL,ENPRESSE : LEVONORGESTREL-ETH ESTRADIOL,896,1028,5801,147206
CONTRACEPTIVES/WOMANS HEALTH ,ENSKYCE,DESOGESTREL-ETHINYL ESTRADIOL,ENSKYCE : DESOGESTREL-ETHINYL ESTRADIOL,125,128,182,4904
ANTIPARKINSON AGENTS,ENTACAPONE,ENTACAPONE,ENTACAPONE : ENTACAPONE,21898,14145,136672,48562512
GLUCOCORTICOIDS,ENTOCORT EC,BUDESONIDE,ENTOCORT EC : BUDESONIDE,693,712,1966,3266807
HYPEROSMOTIC LAXATIVES,ENULOSE,LACTULOSE,ENULOSE : LACTULOSE,44838,22184,217941,4245948
"ANTIACNE AGENTS,TOPICAL",EPIDUO,ADAPALENE/BENZOYL PEROXIDE,EPIDUO : ADAPALENE/BENZOYL PEROXIDE,1245,1182,2375,618330
